Date,close,open,high,low,change,volume
2010-01-19,22810,20,22890,22940,22745,35258000000
2010-01-20,22835,25,22995,22995,22780,44598000000
2010-01-21,23030,195,22625,23030,22625,23296000000
2010-01-22,22435,-595,22785,22790,22250,73050000000
2010-01-25,22350,-85,22175,22440,22130,34642000000
2010-01-26,21885,-465,22400,22400,21785,53622000000
2010-01-27,21700,-185,21895,21975,21700,43929000000
2010-01-28,21980,280,21780,22040,21680,32521000000
2010-01-29,21385,-595,21755,21770,21315,58564000000
2010-02-01,21465,80,21385,21550,21295,53170000000
2010-02-02,21340,-125,21655,21690,21280,47915000000
2010-02-03,21585,245,21540,21630,21410,25275000000
2010-02-04,21560,-25,21630,21630,21455,31473000000
2010-02-05,20945,-615,21025,21195,20845,105338000000
2010-02-08,20770,-175,20995,20995,20735,42758000000
2010-02-09,20955,185,20700,20980,20700,41605000000
2010-02-10,20965,10,21100,21120,20900,33307000000
2010-02-11,21320,355,21015,21425,21015,35671000000
2010-02-12,21235,-85,21360,21380,21015,48859000000
2010-02-16,21375,140,21230,21530,21125,25646000000
2010-02-17,21760,385,21560,21805,21560,64026000000
2010-02-18,21680,-80,21815,21815,21650,25268000000
2010-02-19,21295,-385,21540,21715,21250,56176000000
2010-02-22,21760,465,21535,21850,21530,34933000000
2010-02-23,21760,0,21760,21780,21585,25925000000
2010-02-24,21490,-270,21605,21620,21425,33877000000
2010-02-25,21170,-320,21520,21580,21075,43327000000
2010-02-26,21180,10,21250,21330,21135,20707000000
2010-03-02,21550,370,21415,21660,21415,31653000000
2010-03-03,21610,60,21555,21615,21450,35776000000
2010-03-04,21535,-75,21630,21740,21500,27895000000
2010-03-05,21845,310,21590,21855,21590,34083000000
2010-03-08,22200,355,22035,22220,22035,28414000000
2010-03-09,22200,0,22180,22205,22115,16600000000
2010-03-10,22225,25,22210,22270,22120,28461000000
2010-03-11,22090,-135,22290,22355,22090,34230000000
2010-03-12,22155,65,22180,22240,22050,22213000000
2010-03-15,21930,-225,22170,22230,21855,55340000000
2010-03-16,21985,55,21995,22040,21880,29913000000
2010-03-17,22415,430,22165,22430,22000,89839000000
2010-03-18,22320,-95,22345,22470,22295,37319000000
2010-03-19,22460,140,22395,22495,22320,21730000000
2010-03-22,22200,-260,22320,22345,22100,29280000000
2010-03-23,22425,225,22340,22505,22330,22736000000
2010-03-24,22425,0,22590,22600,22385,30642000000
2010-03-25,22450,25,22405,22520,22400,24522000000
2010-03-26,22575,125,22450,22595,22335,47764000000
2010-03-29,22520,-55,22385,22640,22385,27381000000
2010-03-30,22665,145,22660,22685,22595,18680000000
2010-03-31,22580,-85,22665,22670,22525,19962000000
2010-04-01,22940,360,22520,22970,22520,34542000000
2010-04-02,23040,100,22980,23070,22910,46604000000
2010-04-05,23160,120,23095,23160,23020,34399000000
2010-04-06,23170,10,23200,23235,23110,42618000000
2010-04-07,23130,-40,23190,23220,23130,22667000000
2010-04-08,23185,55,23055,23240,23050,26208000000
2010-04-09,23080,-105,23190,23230,22895,44967000000
2010-04-12,22895,-185,23170,23215,22795,39972000000
2010-04-13,22855,-40,22905,22980,22735,36777000000
2010-04-14,23200,345,22935,23255,22935,43263000000
2010-04-15,23280,80,23300,23340,23155,27609000000
2010-04-16,23135,-145,23200,23280,22975,33871000000
2010-04-19,22740,-395,22850,23005,22700,39737000000
2010-04-20,22880,140,22860,22945,22780,40183000000
2010-04-21,23245,365,23025,23325,23025,23958000000
2010-04-22,23170,-75,23130,23190,23005,29967000000
2010-04-23,23140,-30,23235,23280,23075,21058000000
2010-04-26,23385,245,23275,23485,23275,32954000000
2010-04-27,23365,-20,23385,23395,23240,29804000000
2010-04-28,23060,-305,22925,23065,22860,34343000000
2010-04-29,22770,10,22885,23080,22615,56854000000
2010-04-30,22950,180,22910,22990,22890,17414000000
2010-05-03,22590,-360,22850,22930,22550,31806000000
2010-05-04,22590,0,22740,22770,22520,30168000000
2010-05-06,22090,-500,22105,22160,22015,35116000000
2010-05-07,21590,-500,21630,21735,21355,62449000000
2010-05-10,22000,410,21760,22030,21700,45441000000
2010-05-11,21870,-130,22250,22260,21815,32454000000
2010-05-12,21800,-70,21950,22075,21780,28726000000
2010-05-13,22250,450,22000,22295,21985,25667000000
2010-05-14,22185,-65,22140,22275,21925,31130000000
2010-05-17,21650,-535,21900,21900,21570,35504000000
2010-05-18,21575,-75,21805,21825,21445,43307000000
2010-05-19,21350,-225,21400,21405,21070,74817000000
2010-05-20,21020,-330,21250,21445,20900,54779000000
2010-05-24,21160,140,20850,21225,20850,41118000000
2010-05-25,20595,-565,20990,20990,20355,68038000000
2010-05-26,20715,120,20720,20890,20475,146867000000
2010-05-27,21070,355,20640,21125,20520,32575000000
2010-05-28,21290,220,21345,21360,21125,35943000000
2010-05-31,21550,260,21280,21550,21275,42502000000
2010-06-01,21430,-120,21470,21540,21370,26312000000
2010-06-03,21915,485,21590,21935,21535,44005000000
2010-06-04,21945,30,21915,21960,21830,32807000000
2010-06-07,21595,-350,21450,21595,21340,32265000000
2010-06-08,21765,170,21590,21815,21460,31739000000
2010-06-09,21640,-125,21770,21775,21555,26810000000
2010-06-10,21730,90,21700,21830,21595,32699000000
2010-06-11,22060,330,21995,22090,21865,38619000000
2010-06-14,22270,210,22150,22410,22130,32964000000
2010-06-15,22300,30,22265,22375,22180,27601000000
2010-06-16,22490,190,22480,22525,22360,22654000000
2010-06-17,22470,-20,22485,22535,22410,21582000000
2010-06-18,22525,55,22470,22535,22410,18861000000
2010-06-21,22830,305,22700,22940,22685,32458000000
2010-06-22,22790,-40,22680,22805,22670,22061000000
2010-06-23,22650,-140,22610,22765,22610,29924000000
2010-06-24,22805,155,22650,22880,22600,30811000000
2010-06-25,22590,-215,22605,22800,22530,28142000000
2010-06-28,22680,90,22630,22740,22590,25296000000
2010-06-29,22405,-275,22680,22830,22385,20174000000
2010-06-30,22205,-200,22050,22220,22000,39380000000
2010-07-01,21960,-245,22060,22100,21700,42417000000
2010-07-02,21825,-135,21960,22060,21780,35752000000
2010-07-05,21880,55,21825,21930,21765,24695000000
2010-07-06,22010,130,21810,22025,21510,27858000000
2010-07-07,21865,-145,22065,22065,21765,57508000000
2010-07-08,22235,370,22200,22280,22135,15600000000
2010-07-09,22575,340,22340,22595,22220,33344000000
2010-07-12,22695,120,22650,22695,22575,19663000000
2010-07-13,22770,75,22745,22980,22720,24242000000
2010-07-14,23090,320,22980,23185,22980,47420000000
2010-07-15,23015,-75,23000,23105,22980,19255000000
2010-07-16,22790,-225,22990,23035,22775,27267000000
2010-07-19,22635,-155,22450,22785,22450,21173000000
2010-07-20,22675,40,22650,22760,22500,18575000000
2010-07-21,22900,225,22860,22970,22750,36438000000
2010-07-22,22730,-170,22750,23000,22730,23348000000
2010-07-23,23025,295,23000,23080,22895,35671000000
2010-07-26,23200,175,23100,23230,23025,17968000000
2010-07-27,23190,-10,23250,23280,23180,21938000000
2010-07-28,23280,90,23220,23325,23165,20378000000
2010-07-29,23215,-15,23170,23270,23170,14803000000
2010-07-30,23025,-190,23205,23210,23005,21322000000
2010-08-02,23360,335,23100,23385,23100,19835000000
2010-08-03,23440,80,23470,23480,23380,36900000000
2010-08-04,23420,-20,23450,23470,23285,26808000000
2010-08-05,23350,-70,23470,23540,23255,20735000000
2010-08-06,23350,0,23330,23395,23200,21012000000
2010-08-09,23410,60,23340,23415,23205,15928000000
2010-08-10,23260,-150,23450,23455,23255,14660000000
2010-08-11,22940,-320,23195,23235,22910,32036000000
2010-08-12,22525,-415,22700,22735,22525,53444000000
2010-08-13,22780,255,22600,22780,22510,27495000000
2010-08-16,22730,-50,22725,22730,22375,33738000000
2010-08-17,22920,190,22710,22940,22560,14031000000
2010-08-18,22985,65,23020,23020,22865,14223000000
2010-08-19,23290,305,22985,23325,22960,31180000000
2010-08-20,23190,-100,23090,23285,23090,23260000000
2010-08-23,23160,-30,23190,23435,23125,13814000000
2010-08-24,23025,-135,23150,23210,22850,17834000000
2010-08-25,22680,-345,22885,22935,22670,22951000000
2010-08-26,22625,-55,22780,22805,22625,27738000000
2010-08-27,22640,15,22545,22675,22490,22655000000
2010-08-30,23035,395,22890,23050,22805,20546000000
2010-08-31,22815,-220,22870,22920,22725,33350000000
2010-09-01,23080,265,22850,23120,22830,23342000000
2010-09-02,23200,120,23320,23350,23090,23289000000
2010-09-03,23225,25,23250,23320,23185,20126000000
2010-09-06,23410,185,23395,23410,23310,28327000000
2010-09-07,23325,-85,23400,23410,23325,26267000000
2010-09-08,23185,-140,23230,23270,23080,97105000000
2010-09-09,23305,120,23295,23345,23115,68719000000
2010-09-10,23510,205,23320,23630,23320,68153000000
2010-09-13,23745,235,23550,23780,23550,55614000000
2010-09-14,23715,-30,23790,23800,23690,36236000000
2010-09-15,23780,65,23720,23875,23700,18346000000
2010-09-16,23650,-130,23780,23820,23650,15942000000
2010-09-17,23830,180,23700,23895,23675,24099000000
2010-09-20,23870,40,23760,23970,23700,16430000000
2010-09-24,24000,130,23870,24050,23810,11863000000
2010-09-27,24235,235,24120,24245,24115,22391000000
2010-09-28,24185,-50,24225,24235,24105,16688000000
2010-09-29,24340,155,24255,24460,24230,27075000000
2010-09-30,24360,20,24300,24380,24290,21752000000
2010-10-01,24445,85,24350,24590,24345,21977000000
2010-10-04,24475,30,24545,24580,24460,17844000000
2010-10-05,24515,40,24420,24555,24410,20915000000
2010-10-06,24850,335,24685,24875,24680,28341000000
2010-10-07,24810,-40,24825,24855,24760,24731000000
2010-10-08,24720,-90,24790,24840,24685,29200000000
2010-10-11,24660,-60,24835,24875,24615,35459000000
2010-10-12,24285,-375,24655,24685,24215,74835000000
2010-10-13,24395,110,24385,24480,24275,39939000000
2010-10-14,24735,340,24505,24735,24500,24678000000
2010-10-15,24760,25,24725,24790,24615,20704000000
2010-10-18,24420,-340,24760,24820,24340,30476000000
